i,FONTE,TEMA,ASSUNTO,LINK,SUMARIO,TAGS,KEYWORDS,TEXTO
1344,Receita Federal,Solicitação De Dossiê Digital De Atendimento (Sodea),Abrir um Dossiê Digital de Atendimento,https://www.gov.br/receitafederal/pt-br/assuntos/processos/entrega-de-documentos-digitais/abrir-um-dossie-digital-de-atendimento,O Dossiê Digital de Atendimento (DDA) é o procedimento administrativo que tem a finalidade de acolher um requerimento de serviço e a documentação que o instrui a fim de serem analisados pelo setor competente da RFB.O formulário Solicitação de Dossiê Digital de Atendimento (Sodea) deve estar acompanhado do formulário para a solicitação de um dos serviços previstos no Ato Declaratório Executivo Cogea nº 3/2020.Além de certificado digital é possível abrir o DDA usando código de acesso ou login único no Portal Gov.br.Atendimento PresencialEm uma unidade da Receita Federal facultativamente pode ser aberto por pessoas físicas e por pessoas jurídicas não obrigadas à entrega via Portal e-Cac .Basta imprimir a Solicitação de Dossiê Digital de Atendimento (Sodea) e entregá-la em qualquer unidade de atendimento da Receita Federal acompanhada da documentação instrutória do serviço em papel.,assuntos processos entrega de documentos digitais abrir um dossie digital de atendimento,documentação serviço dossiê entrega digital unidade sodea receita solicitação abrir atendimento,O Dossiê Digital de Atendimento (DDA) é o procedimento administrativo que tem a finalidade de acolher um requerimento de serviço e a documentação que o instrui a fim de serem analisados pelo setor competente da RFB. O formulário Solicitação de Dossiê Digital de Atendimento (Sodea) deve estar acompanhado do formulário para a solicitação de um dos serviços previstos no Ato Declaratório Executivo Cogea nº 3/2020. Para cada serviço a ser requerido deverá ser solicitada a abertura de um DDA específico ao qual deverá ser juntada a documentação exigida para análise e conclusão do serviço. Orientações para a juntada de documentação podem ser obtidas em Solicitar a Juntada de Documento Digital. A ABERTURA DO DOSSIÊ PODE SER REALIZADA COM OU SEM O USO DE CERTIFICADO DIGITAL • Via Portal e-Cac obrigatório para as pessoas jurídicas tributadas com base no lucro real presumido ou arbitrado.
1345,Receita Federal,Solicitação De Pesquisa Da Situação Fiscal E Cadastral,Pesquisa de Situação Fiscal e Cadastral nas Unidades de Atendimento,https://www.gov.br/receitafederal/pt-br/assuntos/orientacao-tributaria/certidoes-e-situacao-fiscal/consultar-pendencias-1/pesquisa-de-situacao-fiscal-e-cadastral-nas-unidades-de-atendimento,"Se EspólioO inventariante o herdeiro o meeiro o legatário ou procurador legalmente habilitado.Se Imóvel Rural de propriedade dePessoa física o próprio contribuinte pessoa física (proprietário enfiteuta ou foreiro usufrutuário ou possuidor a qualquer título) ou procurador legalmente habilitado.Formulário ""Solicitação de Pesquisa da Situação Fiscal e Cadastral"" devidamente preenchido e assinado perante o servidor público da RFB pelo interessado ou por procurador legalmente habilitado2.Formulário ""Solicitação de Pesquisa da Situação fiscal e Cadastral"" devidamente preenchido e assinado perante o servidor público da RFB pelo requerente ou procurador legalmente habilitado2.Imóvel ruralFormulário "" Solicitação de Pesquisa da Situação fiscal e Cadastral "" devidamente preenchido e assinado perante o servidor público da RFB pelo interessado ou por procurador legalmente habilitado vide ""Quem pode requerer/Se imóvel rural"" .",assuntos orientacao tributaria certidoes e situacao fiscal consultar pendencias 1 pesquisa de situacao fiscal e cadastral nas unidades de atendimento,requerente fiscal requerimento solicitação cópia qsa original procurador unidades cadastral legalmente pesquisa situação atendimento assinado autenticada,O Titular de firma individual qualquer sócio ainda que apenas cotista havendo necessidade de apenas um signatário no requerimento mesmo que o contrato estipule administração conjunta da sociedade o dirigente da sociedade representante legal desde que constem do Quadro de Sócios e Administradores informado no CNPJ na data da solicitação ou procurador legalmente habilitado. OBS. Se o requerente não for o responsável da PJ perante a RFB ou não constar do Quadro de Sócios e Administradores - QSA deverá ser primeiramente atualizado o QSA no CNPJ. O inventariante o herdeiro o meeiro o legatário ou procurador legalmente habilitado. Pessoa física o próprio contribuinte pessoa física (proprietário enfiteuta ou foreiro usufrutuário ou possuidor a qualquer título) ou procurador legalmente habilitado.
1346,Receita Federal,Solicitações De Autoridade Administrativa,Advocacia-Geral da União,https://www.gov.br/receitafederal/pt-br/assuntos/orientacao-tributaria/sigilo-fiscal/AGU,No fornecimento de informações à AGU sobre bens direitos e rendas declarados e se houver sobre faturamento para fins de execução de créditos da União deve ser observado o disposto no convênio e respectivos termos aditivos firmados.4º da Lei nº 9.028 de 12 de abril de 1995.198 da Lei nº 5.172 de 25 de outubro de 1966 Código Tributário Nacional.198 da Lei nº 5.172 de 25 de outubro de 1966 Código Tributário Nacional.198 da Lei nº 5.172 de 25 de outubro de 1966 Código Tributário Nacional.,assuntos orientacao tributaria sigilo fiscal AGU,art nº união informações lei advocaciageral fins agu rfb procuradoriageral convênio,Art. 198. Sem prejuízo do disposto na legislação criminal é vedada a divulgação por parte da Fazenda Pública ou de seus servidores de informação obtida em razão do ofício sobre a situação econômica ou financeira do sujeito passivo ou de terceiros e sobre a natureza e o estado de seus negócios ou atividades.
1347,Receita Federal,Solicitações De Autoridade Administrativa,Conselho Nacional de Assistência Social,https://www.gov.br/receitafederal/pt-br/assuntos/orientacao-tributaria/sigilo-fiscal/conselho-nacional-de-assistencia-social,198 da Lei nº 5.172 de 25 de outubro de 1966 Código Tributário Nacional (CTN).198 da Lei n º 5.172 de 25 de outubro de 1966 Código Tributário Nacional (CTN).198 da Lei nº 5.172 de 25 de outubro de 1966 Código Tributário Nacional (CTN).198 da Lei n º 5.172 de 25 de outubro de 1966 Código Tributário Nacional (CTN) a RFB deve fornecer as informações protegidas por sigilo fiscal ao CNAS.Resposta Não a representação deve apenas apontar os requisitos legais descumpridos sem repassar informações protegidas por sigilo fiscal.,assuntos orientacao tributaria sigilo fiscal conselho nacional de assistencia social,art administrativa fiscal nº sigilo social informação assistência informações nacional lei 198 entidade,"Art. 198. Sem prejuízo do disposto na legislação criminal é vedada a divulgação por parte da Fazenda Pública ou de seus servidores de informação obtida em razão do ofício sobre a situação econômica ou financeira do sujeito passivo ou de terceiros e sobre a natureza e o estado de seus negócios ou atividades. Há exceção à regra do sigilo quando o caso concreto se enquadrar na hipótese prevista no inciso II do § 1º do art. 198 da Lei nº 5. 172 de 25 de outubro de 1966 – Código Tributário Nacional (CTN) que trata de ""solicitações de autoridade administrativa no interesse da Administração Pública desde que seja comprovada a instauração regular de processo administrativo no órgão ou na entidade respectiva com o objetivo de investigar o sujeito passivo a que se refere a informação por prática de infração administrativa"". Remeta-se à leitura do tópico Solicitações de Autoridade Administrativa para mais esclarecimentos sobre os requisitos exigidos no inciso II do § 1º do art."
1348,Receita Federal,Solicitações De Autoridade Administrativa,Defensoria Pública da União do Distrito Federal e dos Territórios,https://www.gov.br/receitafederal/pt-br/assuntos/orientacao-tributaria/sigilo-fiscal/defensoria-publica-da-uniao-do-distrito-federal-e-dos-territorios,Nas hipóteses em que se solicita orientação a Defensoria Pública da União solicitou cópia da Declaração de Rendimentos de pessoa jurídica que está abrangida pelo sigilo fiscal.O acesso por membros da Defensoria Pública da União a informações protegidas por sigilo fiscal foi tratado no Parecer PGFN/CAT nº 1.745 de 15 de agosto de 2008 dirimindo dúvidas quanto ao alcance da Lei Complementar nº 80 de 12 de janeiro de 1994 que organiza a Defensoria Pública da União do Distrito Federal e dos Territórios.Examina-se agora se as normas referentes ao sigilo fiscal autorizam a Secretaria da Receita Federal do Brasil a atender requisição de informações e documentos protegidos por sigilo fiscal efetivada por membro da Defensoria Pública da União.Verifica-se portanto que a RFB não está legalmente autorizada a atender requisições de informações protegidas por sigilo fiscal oriundas da DPU em respeito às normas pertinentes ao sigilo fiscal.198 da Lei nº 5.172 de 25 de outubro de 1966 Código Tributário Nacional (CTN).,assuntos orientacao tributaria sigilo fiscal defensoria publica da uniao do distrito federal e dos territorios,art fiscal união sigilo nº distrito informações lei territórios sujeito passivo documentos defensoria pública federal,Art. 198. Sem prejuízo do disposto na legislação criminal é vedada a divulgação por parte da Fazenda Pública ou de seus servidores de informação obtida em razão do ofício sobre a situação econômica ou financeira do sujeito passivo ou de terceiros e sobre a natureza e o estado de seus negócios ou atividades. 12. Nas hipóteses em que se solicita orientação a Defensoria Pública da União solicitou cópia da Declaração de Rendimentos de pessoa jurídica que está abrangida pelo sigilo fiscal. A legislação indicada – Lei Complementar nº 80/1994 art. 44 X – não tem o condão de alterar as disposições específicas do art. 198 do CTN. 13. Quanto ao expediente oriundo da Defensoria Pública Geral do Estado a legislação citada (LC 80/1994 – Lei Complementar estadual/RJ nº 06/77 e Constituição do Estado do Rio de Janeiro) também não podem ser opostas para obter informações protegidas pelo sigilo fiscal.
1349,Receita Federal,Solicitações De Autoridade Administrativa,Exceções ao sigilo fiscal - § 1º do art 198 do CTN,https://www.gov.br/receitafederal/pt-br/assuntos/orientacao-tributaria/sigilo-fiscal/excecoes-ao-sigilo-fiscal-paragrafo-1-do-art-198-do-CTN,Assim dispõe o § 1º do art.198 da Lei nº 5.172 de 25 de outubro de 1966 Código Tributário Nacional (CTN)§ 1º Excetuam-se do disposto neste artigo além dos casos previstos no art.199 os seguintes (Redação dada pela Lei Complementar nº 104 de 10 de janeiro de 2001)I - requisição de autoridade judiciária no interesse da justiça (Redação dada pela Lei Complementar nº 104 de 10 de janeiro de 2001)II - solicitações de autoridade administrativa no interesse da Administração Pública desde que seja comprovada a instauração regular de processo administrativo no órgão ou na entidade respectiva com o objetivo de investigar o sujeito passivo a que se refere a informação por prática de infração administrativa.(Redação dada pela Lei Complementar nº 104 de 10 de janeiro de 2001)A análise detalhada de cada hipótese de exceção acima prevista será realizada nos tópicos Requisições Judiciais e Solicitações de Autoridade Administrativa deste manual.,assuntos orientacao tributaria sigilo fiscal excecoes ao sigilo fiscal paragrafo 1 do art 198 do CTN,art exceções fiscal redação 1º nº sigilo ctn janeiro dada lei complementar 10 198 administrativa 104 autoridade,II - solicitações de autoridade administrativa no interesse da Administração Pública desde que seja comprovada a instauração regular de processo administrativo no órgão ou na entidade respectiva com o objetivo de investigar o sujeito passivo a que se refere a informação por prática de infração administrativa.
1350,Receita Federal,Solicitações De Autoridade Administrativa,Instituto Nacional do Seguro Social,https://www.gov.br/receitafederal/pt-br/assuntos/orientacao-tributaria/sigilo-fiscal/instituto-nacional-do-seguro-social,FundamentaçãoA Lei nº 11.457 de 16 de março de 2007 estabeleceu em seus arts.11 da Lei nº 8.212 de 24 de julho de 1991 e das contribuições instituídas a título de substituição(...)Art.198 da Lei nº 5.172 de 25 de outubro de 1966 (Código Tributário Nacional) e no parágrafo único do art.198 da Lei nº 5.172 de 25 de outubro de 1966 Código Tributário Nacional (CTN).198 da Lei nº 5.172 de 25 de outubro de 1966 Código Tributário Nacional (CTN).,assuntos orientacao tributaria sigilo fiscal instituto nacional do seguro social,art 2º nº secretaria social informações lei nacional 198 receita seguro instituto 3º contribuições,Art. 198. Sem prejuízo do disposto na legislação criminal é vedada a divulgação por parte da Fazenda Pública ou de seus servidores de informação obtida em razão do ofício sobre a situação econômica ou financeira do sujeito passivo ou de terceiros e sobre a natureza e o estado de seus negócios ou atividades. 1) Transferência recíproca de informações relativas às contribuições definidas nos arts. 2º e 3º da Lei nº 11. 457 de 16 de março de 2007 (contribuições sociais previstas nas alíneas a b e c do parágrafo único do art. 11 da Lei nº 8. 212 de 24 de julho de 1991 contribuições instituídas a título de substituição e contribuições devidas a terceiros assim entendidas outras entidades e fundos na forma da legislação em vigor) disciplinada pela Portaria RFB/INSS nº 2 de 27 de abril de 2009. A Lei nº 11. 457 de 16 de março de 2007 estabeleceu em seus arts.
1351,Receita Federal,Solicitações De Autoridade Administrativa,Ministério Público Eleitoral,https://www.gov.br/receitafederal/pt-br/assuntos/orientacao-tributaria/sigilo-fiscal/ministerio-publico-eleitoral,O Ministério Público Eleitoral não integra o Ministério Público da União que é composto pelo Ministério Público Federal Ministério Público do Trabalho Ministério Público Militar e Ministério Público do Distrito Federal e dos Territórios conforme se depreende do art.Em consequência o poder requisitório atribuído ao Ministério Público da União pelo artigo 8º §§ 1º e 2º da Lei Complementar nº 75 de 20 de maio de 1993 não se aplica ao Ministério Público Eleitoral.198 da Lei nº 5.172 de 25 de outubro de 1966 Código Tributário Nacional (CTN).Remeta-se à leitura do tópico Solicitações de Autoridade Administrativa para mais esclarecimentos sobre os requisitos exigidos no inciso II do § 1º do art.198 da Lei nº 5.172 de 25 de outubro de 1966 Código Tributário Nacional (CTN).,assuntos orientacao tributaria sigilo fiscal ministerio publico eleitoral,art administrativa 1º nº ministério união lei 198 público eleitoral federal,Art. 198. Sem prejuízo do disposto na legislação criminal é vedada a divulgação por parte da Fazenda Pública ou de seus servidores de informação obtida em razão do ofício sobre a situação econômica ou financeira do sujeito passivo ou de terceiros e sobre a natureza e o estado de seus negócios ou atividades. O Ministério Público Eleitoral não integra o Ministério Público da União que é composto pelo Ministério Público Federal Ministério Público do Trabalho Ministério Público Militar e Ministério Público do Distrito Federal e dos Territórios conforme se depreende do art. 128 da Constituição Federal de 1988 e do art. 24 da Lei Complementar nº 75 de 20 de maio de 1993. Em consequência o poder requisitório atribuído ao Ministério Público da União pelo artigo 8º §§ 1º e 2º da Lei Complementar nº 75 de 20 de maio de 1993 não se aplica ao Ministério Público Eleitoral.
1352,Receita Federal,Solicitações De Autoridade Administrativa,Ministério Público Estadual,https://www.gov.br/receitafederal/pt-br/assuntos/orientacao-tributaria/sigilo-fiscal/ministerio-publico-estadual,Portanto sendo estadual matéria de competência regulatória da União não pode lei estadual independente de sua hierarquia dela cuidar.Assim verifica-se que lei complementar estadual não é instrumento normativo adequado ou hábil para derrogar mesmo que parcialmente disposição sobre sigilo fiscal estabelecida em lei complementar federal.Quanto à impossibilidade de extensão ao Ministério Público Estadual do tratamento dado ao Ministério Público da União observe-se o disposto no Parecer PGFN/CAT nº 18 de 4 de janeiro de 201825.O entendimento quanto à possibilidade de acesso a informações protegidas por sigilo fiscal pelo Ministério Público Federal não é extensível ao Ministério Público Estadual uma vez que o entendimento da PGFN era no sentido da impossibilidade de acesso não tendo a AGU esclarecido se sua manifestação se aplicaria também ao MP Estadual.Portanto a conclusão que se extrai é a de que a RFB não tem autorização legal para fornecer ao Ministério Público Estadual informações acobertadas por sigilo fiscal.,assuntos orientacao tributaria sigilo fiscal ministerio publico estadual,art parecer nº ministério sigilo complementar informações lei público estadual,Art. 198. Sem prejuízo do disposto na legislação criminal é vedada a divulgação por parte da Fazenda Pública ou de seus servidores de informação obtida em razão do ofício sobre a situação econômica ou financeira do sujeito passivo ou de terceiros e sobre a natureza e o estado de seus negócios ou atividades. O sigilo fiscal por se inserir no campo das normas gerais em matéria de legislação tributária só pode ser regulado por lei complementar por determinação do art. 146 III da Constituição Federal de 1988. A esse respeito dispõe o Parecer PGFN nº 1. 973 de 21 de novembro de 1996 emitido pela Procuradoria-Geral da Fazenda Nacional com destaque para alguns de seus itens in verbis 5. (. . . ) admito para efeito da análise a ser empreendida que o sigilo fiscal determinado pelo Código tributário Nacional é matéria que só comporta alteração por lei complementar nos termos do art. 146 da constituição.
1353,Receita Federal,Solicitações De Autoridade Administrativa,Ministério Público da União,https://www.gov.br/receitafederal/pt-br/assuntos/orientacao-tributaria/sigilo-fiscal/ministerio-publico-da-uniao,Em suma foi reconhecido ao MPU composto pelo Ministério Público Federal (MPF) Ministério Público do Trabalho (MPT) Ministério Público Militar (MPM) e Ministério Público do Distrito Federal e dos Territórios (MPDFT) o poder de requisitar informações protegidas por sigilo fiscal à RFB.Sobre requisição do Ministério Público Militar remeta-se à leitura da Nota RFB/Asesp nº 14 de 6 de junho de 2011.O Ministério Público Eleitoral não integra o MPU.Remeta-se à leitura do tópico Ministério Público Eleitoral.198 da Lei nº 5.172 de 25 de outubro de 1966 Código Tributário Nacional (CTN).,assuntos orientacao tributaria sigilo fiscal ministerio publico da uniao,ministério sigilo nº união mpu lei informações requisição protegidas público rfb,Consoante entendimento esposado na Nota Técnica nº 179/DENOR/CGU/AGU de 21 de dezembro de 2007 aprovada pelo Consultor-Geral da União por meio do Despacho CGU nº 428/2007 e pelo Advogado-Geral da União os dispositivos da Lei Complementar nº 75 de 20 de maio de 1993 mais precisamente o artigo 8º §§ 1º e 2º e o artigo 24 autorizam o MPU a requisitar diretamente informações protegidas por sigilo fiscal. Em suma foi reconhecido ao MPU composto pelo Ministério Público Federal (MPF) Ministério Público do Trabalho (MPT) Ministério Público Militar (MPM) e Ministério Público do Distrito Federal e dos Territórios (MPDFT) o poder de requisitar informações protegidas por sigilo fiscal à RFB. Sobre requisição do Ministério Público Militar remeta-se à leitura da Nota RFB/Asesp nº 14 de 6 de junho de 2011. O Ministério Público Eleitoral não integra o MPU. Remeta-se à leitura do tópico Ministério Público Eleitoral. Assim como se verifica o regramento do art. 198 da Lei nº 5.
1354,Receita Federal,Solicitações De Autoridade Administrativa,Polícia Federal,https://www.gov.br/receitafederal/pt-br/assuntos/orientacao-tributaria/sigilo-fiscal/policia-federal,"Ao negar à autoridade policial federal o fornecimento de referidas informações a SRF estaria dificultando a investigação do suposto crime contra a ordem tributária que ela própria noticiou ao Ministério Público Federal e indiretamente à Polícia Federal a qual ressalte-se obtém referida informação mediante requerimento ao Ministério Público Federal conforme bem relatado pela Disit da SRRF08 in verbis""... a Receita Federal num primeiro momento noticiava ao MPF mediante representação a possível ocorrência de conduta criminosa.Ato contínuo com a instauração do inquérito policial visando a coleta de elementos para verificar a ocorrência dessa conduta e de sua autoria determinado pelo próprio MPF o presidente do inquérito policial delegado de polícia federal solicitava informações à autoridade representante que opondo o resguardo ao sigilo fiscal negava-se a informar.A polícia federal noticiava o MPF da negativa fazendo com que este oficiasse diretamente à RF requisitando as informações às quais eram encaminhadas ao Parquet que por sua vez reencaminhava-as à PF.""FundamentaçãoEssa hipótese de fornecimento de informações pela RFB a autoridade policial federal diz respeito à obrigação legal disposta no art.Não viola o dever de sigilo funcional a divulgação de informação sobre a existência de procedimento fiscal instaurado em face de determinado contribuinte ao Departamento de Polícia Federal preservado o sigilo a que se refere o art.",assuntos orientacao tributaria sigilo fiscal policia federal,fiscal infração nº sigilo informações inquérito polícia representação autoridade policial federal,Art. 198. Sem prejuízo do disposto na legislação criminal é vedada a divulgação por parte da Fazenda Pública ou de seus servidores de informação obtida em razão do ofício sobre a situação econômica ou financeira do sujeito passivo ou de terceiros e sobre a natureza e o estado de seus negócios ou atividades. 1) O fornecimento de informações complementares relativas ao representado e ao crédito tributário apurado ainda que protegidas por sigilo fiscal à autoridade policial federal que conduz o inquérito policial instaurado a fim de apurar a prática de infração penal objeto de representação fiscal para fins penais.
1355,Receita Federal,Solicitações De Autoridade Administrativa,Procuradoria-Geral da Fazenda Nacional,https://www.gov.br/receitafederal/pt-br/assuntos/orientacao-tributaria/sigilo-fiscal/procuradoria-geral-da-fazenda-nacional,FundamentaçãoO Parecer PGFN/PGA nº 980 de 1º de julho de 2004 com aprovação ministerial dispõeDespacho Aprovo Parecer nº 980/PGFN-PGA de 30 de junho de 2004 da Procuradoria-Geral da Fazenda cujas conclusões sãoa) a troca de informações entre a Secretaria da Receita Federal e a Procuradoria-Geral da Fazenda Nacional deve ser ampla e irrestrita não se justificando nenhuma forma de restrição ao compartilhamento de dados cadastrais e de informações econômico-fiscaisb) o compartilhamento de informações econômico-fiscais entre órgãos integrantes da administração tributária federal não significa quebra de sigilo fiscal considerando ainda que a custódia da informação sigilosa passa para o respectivo solicitanteO Termo de Definição de Procedimentos firmado entre a RFB e a PGFN em 3 de outubro de 2005 estabelece os procedimentos a serem cumpridos pelos servidores dos órgãos signatários no compartilhamento de informações relativas ao sujeito passivo de obrigações fiscais com débitos inscritos ou não em Dívida Ativa da União ou em processo litigioso contra a União em matéria fiscal.A RFB também pode fornecer informações protegidas por sigilo fiscal quando solicitadas por autoridade administrativa no interesse da Administração Pública desde que seja comprovada a instauração regular de processo administrativo no órgão ou na entidade respectiva com o objetivo de investigar o sujeito passivo a que se refere a informação por prática de infração administrativa conforme dispõe o inciso II do § 1º do art.198 da Lei nº 5.172 de 25 de outubro de 1966 Código Tributário Nacional (CTN).Remeta-se à leitura do tópico Solicitações de Autoridade Administrativa para mais esclarecimentos sobre os requisitos exigidos no inciso II do § 1º do art.198 da Lei nº 5.172 de 25 de outubro de 1966 Código Tributário Nacional (CTN).,assuntos orientacao tributaria sigilo fiscal procuradoria geral da fazenda nacional,compartilhamento administrativa 1º nº união órgãos tributário informações nacional fazenda procuradoriageral outubro,a) a troca de informações entre a Secretaria da Receita Federal e a Procuradoria-Geral da Fazenda Nacional deve ser ampla e irrestrita não se justificando nenhuma forma de restrição ao compartilhamento de dados cadastrais e de informações econômico-fiscais b) o compartilhamento de informações econômico-fiscais entre órgãos integrantes da administração tributária federal não significa quebra de sigilo fiscal considerando ainda que a custódia da informação sigilosa passa para o respectivo solicitante O Termo de Definição de Procedimentos firmado entre a RFB e a PGFN em 3 de outubro de 2005 estabelece os procedimentos a serem cumpridos pelos servidores dos órgãos signatários no compartilhamento de informações relativas ao sujeito passivo de obrigações fiscais com débitos inscritos ou não em Dívida Ativa da União ou em processo litigioso contra a União em matéria fiscal.
1356,Receita Federal,Solicitações De Autoridade Administrativa,Secretaria Especial de Comércio Exterior e Assuntos Internacionais (Secint/ME),https://www.gov.br/receitafederal/pt-br/assuntos/orientacao-tributaria/sigilo-fiscal/secretaria-especial-de-comercio-exterior-e-assuntos-internacionais-secint-me,Excetua-se da regra do sigilo fiscal quando o caso concreto se enquadrar na hipótese prevista no inciso II do § 1º do art.198 da Lei nº 5.172 de 25 de outubro de 1966 Código Tributário Nacional (CTN).198 da Lei nº 5.172 de 25 de outubro de 966 - Código Tributário Nacional.Remeta-se à leitura do tópico Solicitações de Autoridade Administrativa para mais esclarecimentos sobre os requisitos exigidos no inciso II do § 1º do art.198 da Lei nº 5.172 de 25 de outubro de 1966 Código Tributário Nacional (CTN).,assuntos orientacao tributaria sigilo fiscal secretaria especial de comercio exterior e assuntos internacionais secint me,especial art 1º secretaria internacionais comércio assuntos nº secintme lei tributário 198 exterior outubro,"Art. 198. Sem prejuízo do disposto na legislação criminal é vedada a divulgação por parte da Fazenda Pública ou de seus servidores de informação obtida em razão do ofício sobre a situação econômica ou financeira do sujeito passivo ou de terceiros e sobre a natureza e o estado de seus negócios ou atividades. Excetua-se da regra do sigilo fiscal quando o caso concreto se enquadrar na hipótese prevista no inciso II do § 1º do art. 198 da Lei nº 5. 172 de 25 de outubro de 1966 Código Tributário Nacional (CTN) que trata de ""solicitações de autoridade administrativa no interesse da Administração Pública desde que seja comprovada a instauração regular de processo administrativo no órgão ou na entidade respectiva com o objetivo de investigar o sujeito passivo a que se refere a informação por prática de infração administrativa"". Nesse sentido a Portaria RFB nº 3."
1357,Receita Federal,Solicitações De Autoridade Administrativa,Secretaria Especial de Produtividade Emprego e Competitividade (Sepec/ME),https://www.gov.br/receitafederal/pt-br/assuntos/orientacao-tributaria/sigilo-fiscal/secretaria-especial-de-produtividade-emprego-e-competitividade-sepec-me,Sem prejuízo do disposto na legislação criminal é vedada a divulgação por parte da Fazenda Pública ou de seus servidores de informação obtida em razão do ofício sobre a situação econômica ou financeira do sujeito passivo ou de terceiros e sobre a natureza e o estado de seus negócios ou atividades.Atenção Quando houver solicitação de autoridade administrativa no interesse da Administração Pública desde que seja comprovada a instauração regular de processo administrativo no órgão ou na entidade respectiva com o objetivo de investigar o sujeito passivo a que se refere a informação por prática de infração administrativa conforme dispõe o inciso II do § 1º do art.198 da Lei nº 5.172 de 25 de outubro de 1966 Código Tributário Nacional (CTN).Remeta-se à leitura do tópico Solicitações de Autoridade Administrativa para mais esclarecimentos sobre os requisitos exigidos no inciso II do § 1º do art.198 da Lei nº 5.172 de 25 de outubro de 1966 Código Tributário Nacional (CTN).,assuntos orientacao tributaria sigilo fiscal secretaria especial de produtividade emprego e competitividade sepec me,especial art administrativa emprego secretaria sepecme tributário nº passivo nacional sujeito 198 produtividade pública competitividade outubro,Art. 198. Sem prejuízo do disposto na legislação criminal é vedada a divulgação por parte da Fazenda Pública ou de seus servidores de informação obtida em razão do ofício sobre a situação econômica ou financeira do sujeito passivo ou de terceiros e sobre a natureza e o estado de seus negócios ou atividades. Atenção Quando houver solicitação de autoridade administrativa no interesse da Administração Pública desde que seja comprovada a instauração regular de processo administrativo no órgão ou na entidade respectiva com o objetivo de investigar o sujeito passivo a que se refere a informação por prática de infração administrativa conforme dispõe o inciso II do § 1º do art. 198 da Lei nº 5. 172 de 25 de outubro de 1966 Código Tributário Nacional (CTN). Remeta-se à leitura do tópico Solicitações de Autoridade Administrativa para mais esclarecimentos sobre os requisitos exigidos no inciso II do § 1º do art. 198 da Lei nº 5.
1358,Receita Federal,Solicitações De Autoridade Administrativa,Órgãos e entidades da Fazenda Pública,https://www.gov.br/receitafederal/pt-br/assuntos/orientacao-tributaria/sigilo-fiscal/orgaos-e-entidades-da-fazenda-publica,2º Para fins desta Instrução Normativa consideram-se órgãos e entidades da Fazenda Pública aqueles dotados de competência legal para cobrar e fiscalizar impostos taxas e contribuições instituídas pelo Poder Público.199 da Lei nº 5.172 de 25 de outubro de 1966 Código Tributário Nacional (CTN) dispõe queArt.Tem-se portanto que a Fazenda Pública da União dos Estados do Distrito Federal e dos Municípios estão legalmente autorizadas a permutar informações quando necessárias à fiscalização dos respectivos tributos.198 da Lei nº 5.172 de 25 de outubro de 1966 Código Tributário Nacional (CTN).198 da Lei nº 5.172 de 25 de outubro de 1966 Código Tributário Nacional (CTN).,assuntos orientacao tributaria sigilo fiscal orgaos e entidades da fazenda publica,art entidades nº janeiro órgãos informações lei normativa fazenda fevereiro pública rfb federal,Importa consignar que para a troca de informações por meio de convênio o art. 2º da Instrução Normativa SRF nº 20 de 17 de fevereiro de 1998 explicita a seguinte definição Art. 2º Para fins desta Instrução Normativa consideram-se órgãos e entidades da Fazenda Pública aqueles dotados de competência legal para cobrar e fiscalizar impostos taxas e contribuições instituídas pelo Poder Público. A Constituição Federal de 1988 autoriza o compartilhamento de informações fiscais entre as administrações tributárias da União dos Estados do Distrito Federal e dos Municípios conforme disposto no inciso XXII do art.
1359,Receita Federal,Somente Para Bancos Credenciados - Atualizar A Base De Dados,CNPJ - Cadastro Nacional da Pessoa Jurídica,https://www.gov.br/receitafederal/pt-br/servicos/cadastros/cnpj, ,servicos cadastros cnpj,cadastro nacional jurídica pessoa cnpj, 
1360,Receita Federal,Sped - Sistema Público De Escrituração Digital,Declarações e Demonstrativos,https://www.gov.br/receitafederal/pt-br/assuntos/orientacao-tributaria/declaracoes-e-demonstrativos,DCTFWeb - Declaração de Débitos e Créditos Tributários Federais Previdenciários e de Outras Entidades e Fundos,assuntos orientacao tributaria declaracoes e demonstrativos,tributários demonstrativos fundos declaração entidades créditos previdenciários federais débitos dctfweb declarações, 
1361,Receita Federal,Sped – Sistema Público De Escrituração Digital,Declarações e Demonstrativos,https://www.gov.br/receitafederal/pt-br/servicos/declaracoes-e-demonstrativos, ,servicos declaracoes e demonstrativos,demonstrativos declarações, 
